2016-01-31 02:19:52 114.111.167.114 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-31 02:20:11 114.111.167.114 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-31 02:20:29 114.111.167.114 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-31 02:20:46 66.249.64.164   browse   danmaku.us . "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-01-31 02:31:07 40.77.167.32    browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-01-31 02:34:25 36.110.147.109  browse   danmaku.us . "" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.1 Safari/534.34"
2016-01-31 02:36:56 68.180.228.235  browse   danmaku.us Acfun2.1048 "" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
2016-01-31 02:58:40 113.111.20.125  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-01-31 02:58:40 113.111.20.125  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-01-31 02:58:41 113.111.20.125  browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-01-31 02:58:42 113.111.20.125  browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
