2016-03-08 03:58:08 101.226.167.234 print    www.danmaku.us Bilibili2.1091 "http://www.danmaku.us/Bilibili2/1091?action=print" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 03:58:08 182.118.20.171  browse   www.danmaku.us Acfun2.1173 "http://www.danmaku.us/Acfun2/1173" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:06:27 182.118.25.216  browse   www.danmaku.us Acfun2.HomePage "http://www.danmaku.us/Acfun2/HomePage?count=0" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:06:29 101.226.166.252 browse   danmaku.us Acfun2.1173 "http://danmaku.us/Acfun2/1173" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:07:42 101.226.169.212 browse   danmaku.us Acfun2.1139 "http://danmaku.us/Acfun2/1139?Player=acnew" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:08:10 101.226.167.226 browse   danmaku.us Acfun2.1145 "http://danmaku.us/Acfun2/1145?Player=acnew" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:11:21 182.118.22.201  edit     danmaku.us Acfun2.HomePage "http://danmaku.us/Acfun2/HomePage?action=edit&preview=y&restore=diff:1285233661:1285233635:" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 04:15:14 182.118.25.217  browse   danmaku.us Acfun2.1191 "http://danmaku.us/Acfun2/1191?Player=acnew" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-03-08 05:06:32 171.214.240.43  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0; InfoPath.2)"
2016-03-08 05:06:32 171.214.240.43  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0; InfoPath.2)"
2016-03-08 05:22:31 180.76.15.138   browse   www.danmaku.us Bilibili2.1087 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-03-08 06:52:56 66.249.65.151   browse   danmaku.us Bilibili2/gikiynqvafgco.html "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-03-08 07:06:15 180.76.15.150   browse   danmaku.us Acfun2.1191 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-03-08 07:22:29 182.118.41.240  browse   danmaku.us . "http://danmaku.us/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
2016-03-08 07:32:17 66.249.73.252   browse   danmaku.us Acfun2.1193 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-03-08 07:34:18 66.249.73.244   browse   danmaku.us Acfun2.1193 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-03-08 07:38:03 66.249.65.151   browse   danmaku.us Acfun2.1193 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-03-08 08:02:17 207.46.13.117   browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-03-08 08:05:28 180.76.15.143   browse   www.danmaku.us PmWiki.PageLists "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-03-08 08:13:14 180.76.15.33    browse   danmaku.us Acfun2.1025 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
