2015-09-17 00:52:04 119.48.205.241  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-09-17 00:53:33 66.249.65.172   browse   danmaku.us Acfun2.1097 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 00:56:06 66.249.65.179   browse   danmaku.us Acfun2.1077 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 00:59:27 66.249.65.179   browse   danmaku.us Acfun2.1074 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 01:01:19 199.21.99.200   browse   danmaku.us Bilibili2.1077 "" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
2015-09-17 01:05:21 66.249.65.151   browse   danmaku.us . "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 01:06:23 207.46.13.110   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2015-09-17 01:17:10 66.249.65.179   browse   danmaku.us Bilibili2.1104 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 01:19:08 66.249.65.179   browse   danmaku.us Acfun2.1102 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-17 01:23:03 66.249.65.172   browse   danmaku.us Main.FNQ "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
