2015-09-05 01:58:02 120.193.158.139 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0)"
2015-09-05 01:58:02 120.193.158.139 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0)"
2015-09-05 01:58:02 120.193.158.139 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0)"
2015-09-05 01:58:02 120.193.158.139 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0)"
2015-09-05 02:00:08 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:08 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:09 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:12 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:12 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:14 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:00:16 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:05:23 100.43.85.12    browse   danmaku.us Acfun2.1060 "" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
2015-09-05 02:05:25 100.43.85.5     browse   danmaku.us Acfun2.1020 "" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
2015-09-05 02:12:48 180.76.15.152   browse   danmaku.us PmWiki.BackupAndRestore "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-09-05 02:18:26 182.118.42.34   browse   danmaku.us . "http://danmaku.us/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
2015-09-05 02:23:42 157.55.39.62    browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2015-09-05 02:31:38 111.20.241.252  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:RESERVED)"
2015-09-05 02:31:38 111.20.241.252  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; GWX:RESERVED)"
2015-09-05 02:40:05 66.249.65.151   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-05 02:45:41 68.180.228.235  browse   danmaku.us Acfun2.1209 "" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
2015-09-05 02:50:22 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:23 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:24 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:26 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:27 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:27 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:50:28 27.153.209.203  browse   danmaku.us Main.HomePage "" ""
2015-09-05 02:54:04 180.76.15.22    browse   danmaku.us PmWiki.UrlApprovals "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
