2015-08-19 03:34:21 101.226.167.221 edit     direct.danmaku.us Acfun2.1141 "http://direct.danmaku.us/Acfun2/1141?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:34:30 182.118.22.203  browse   direct.danmaku.us Acfun2.1199 "http://direct.danmaku.us/Acfun2/1199?Player=ac20110209" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:36:57 182.118.20.163  diff     direct.danmaku.us Acfun2.1121 "http://direct.danmaku.us/Acfun2/1121?action=diff&minor=y&source=y" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:38:38 101.226.166.233 diff     direct.danmaku.us Bilibili2.1111 "http://direct.danmaku.us/Bilibili2/1111?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:40:09 182.118.20.162  diff     direct.danmaku.us Acfun2.1005 "http://direct.danmaku.us/Acfun2/1005?action=diff&minor=y&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:40:45 101.226.167.220 diff     www.danmaku.us Acfun2.1001 "http://www.danmaku.us/Acfun2/1001?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:41:04 101.226.166.203 diff     www.danmaku.us Acfun2.1020 "http://www.danmaku.us/Acfun2/1020?action=diff&minor=y&source=n" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:41:08 182.118.20.167  diff     direct.danmaku.us Main.HomePage "http://direct.danmaku.us/Main/HomePage?action=diff&diffstart=-1&minor=n&source=y" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:41:10 101.226.167.237 edit     www.danmaku.us Bilibili2.1024 "http://www.danmaku.us/Bilibili2/1024?action=edit&preview=y&restore=diff:1295526978:1295526978:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-19 03:42:25 101.226.167.210 browse   www.danmaku.us Bilibili2.1076 "http://www.danmaku.us/Bilibili2/1076" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
